         1464358 function calls (1453385 primitive calls) in 16.138 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  229/149    0.084    0.000   28.685    0.193 queue.py:154(get)
   317/19    1.104    0.003   15.613    0.822 threading.py:302(wait)
  180/169    0.000    0.000    4.468    0.026 indexing.py:550(get_duck_array)
      169    0.001    0.000    4.458    0.026 netCDF4_.py:100(__getitem__)
      156    0.000    0.000    4.456    0.029 indexing.py:695(get_duck_array)
      156    0.000    0.000    4.454    0.029 indexing.py:689(_ensure_cached)
      128    0.000    0.000    4.453    0.035 indexing.py:663(get_duck_array)
      127    0.001    0.000    2.360    0.019 pycompat.py:99(to_numpy)
      120    0.000    0.000    2.356    0.020 dataarray.py:776(to_numpy)
      120    0.000    0.000    2.356    0.020 core.py:826(to_numpy)
        6    0.000    0.000    2.248    0.375 computation.py:901(apply_ufunc)
       31    0.001    0.000    2.233    0.072 computation.py:711(apply_variable_ufunc)
        5    0.000    0.000    2.162    0.432 common.py:1124(where)
        5    0.000    0.000    2.112    0.422 ops.py:160(where_method)
        5    0.000    0.000    2.112    0.422 computation.py:491(apply_dataset_vfunc)
        5    0.000    0.000    2.107    0.421 computation.py:437(apply_dict_of_variables_vfunc)
      329    0.000    0.000    2.099    0.006 variable.py:401(data)
       61    0.000    0.000    2.098    0.034 computation.py:652(broadcast_compat_data)
      169    0.001    0.000    1.704    0.010 indexing.py:830(explicit_indexing_adapter)
      169    0.001    0.000    1.699    0.010 netCDF4_.py:105(_getitem)
      169    1.684    0.010    1.693    0.010 {built-in method _operator.getitem}
      2/1    0.000    0.000    1.600    1.600 pc2tsf_profiler.py:560(main)
      4/3    0.044    0.011    1.593    0.531 pc2tsf_profiler.py:435(pc2tsf)
    38450    1.245    0.000    1.245    0.000 pc2tsf_profiler.py:47(calcAbsorption)
        1    0.000    0.000    1.044    1.044 dataset.py:2203(to_netcdf)
        1    0.000    0.000    1.044    1.044 api.py:1243(to_netcdf)
        1    0.000    0.000    1.036    1.036 api.py:1364(dump_to_store)
        1    0.000    0.000    1.036    1.036 common.py:362(store)
    162/9    0.004    0.000    0.848    0.094 threading.py:616(wait)
        5    0.174    0.035    0.583    0.117 pc2tsf_profiler.py:164(construct_full_TSf)
    38455    0.039    0.000    0.492    0.000 _pocketfft.py:122(fft)
    38455    0.111    0.000    0.441    0.000 _pocketfft.py:49(_raw_fft)
       11    0.000    0.000    0.409    0.037 variables.py:74(get_duck_array)
        4    0.000    0.000    0.382    0.095 concat.py:62(concat)
        4    0.002    0.000    0.381    0.095 concat.py:449(_dataset_concat)
    38455    0.291    0.000    0.291    0.000 {built-in method numpy.fft._pocketfft_internal.execute}
    12/10    0.016    0.001    0.287    0.029 api.py:393(open_dataset)
       10    0.000    0.000    0.279    0.028 netCDF4_.py:625(open_dataset)
    38628    0.023    0.000    0.273    0.000 fromnumeric.py:53(_wrapfunc)
        5    0.236    0.047    0.236    0.047 pc2tsf_profiler.py:123(calcAngles)
       10    0.000    0.000    0.220    0.022 store.py:29(open_dataset)
       10    0.002    0.000    0.203    0.020 __init__.py:1(<module>)
       10    0.001    0.000    0.170    0.017 conventions.py:387(decode_cf_variables)
       15    0.000    0.000    0.168    0.011 fromnumeric.py:3269(round)
       10    0.167    0.017    0.167    0.017 {method 'round' of 'numpy.ndarray' objects}
      157    0.002    0.000    0.167    0.001 conventions.py:206(decode_cf_variable)
       40    0.001    0.000    0.165    0.004 variable.py:2873(concat)
       40    0.000    0.000    0.164    0.004 variable.py:1627(concat)
       40    0.162    0.004    0.163    0.004 duck_array_ops.py:348(concatenate)
        5    0.160    0.032    0.160    0.032 pc2tsf_profiler.py:95(calcTransducerHalves)
   126/11    0.001    0.000    0.142    0.013 <frozen importlib._bootstrap>:1343(_find_and_load)
   116/11    0.000    0.000    0.141    0.013 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
    38450    0.035    0.000    0.138    0.000 fromnumeric.py:1236(argmin)
     83/5    0.000    0.000    0.137    0.027 <frozen importlib._bootstrap>:905(_load_unlocked)
        5    0.085    0.017    0.137    0.027 pc2tsf_profiler.py:186(TSf)
     73/5    0.000    0.000    0.137    0.027 <frozen importlib._bootstrap_external>:988(exec_module)
        1    0.000    0.000    0.136    0.136 variables.py:572(decode)
        1    0.000    0.000    0.136    0.136 variable.py:426(astype)
   212/20    0.000    0.000    0.135    0.007 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     94/5    0.002    0.000    0.134    0.027 {built-in method builtins.exec}
  892/696    0.001    0.000    0.130    0.000 {built-in method builtins.any}
      502    0.000    0.000    0.130    0.000 utils.py:93(is_duck_dask_array)
      265    0.000    0.000    0.129    0.000 pycompat.py:91(is_chunked_array)
      240    0.001    0.000    0.128    0.001 utils.py:67(is_dask_collection)
      123    0.000    0.000    0.127    0.001 computation.py:743(<genexpr>)
     16/1    0.000    0.000    0.127    0.127 {built-in method builtins.__import__}
        2    0.000    0.000    0.112    0.056 pydevd_net_command.py:104(send)
       60    0.110    0.002    0.111    0.002 numeric.py:274(full)
        4    0.066    0.016    0.109    0.027 {method 'sendall' of '_socket.socket' objects}
  151/119    0.000    0.000    0.102    0.001 <frozen importlib._bootstrap>:1384(_handle_fromlist)
    38527    0.085    0.000    0.085    0.000 {built-in method builtins.abs}
    38450    0.073    0.000    0.073    0.000 {method 'argmin' of 'numpy.ndarray' objects}
      439    0.003    0.000    0.069    0.000 netCDF4_.py:411(_acquire)
       11    0.000    0.000    0.065    0.006 netCDF4_.py:362(open)
2060/1132    0.001    0.000    0.064    0.000 {built-in method builtins.next}
  892/453    0.000    0.000    0.064    0.000 contextlib.py:132(__enter__)
      878    0.000    0.000    0.063    0.000 file_manager.py:196(acquire_context)
       89    0.000    0.000    0.063    0.001 netCDF4_.py:416(ds)
      439    0.059    0.000    0.063    0.000 file_manager.py:207(_acquire_with_cache_info)
       11    0.000    0.000    0.063    0.006 netCDF4_.py:336(__init__)
      235    0.062    0.000    0.062    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       78    0.000    0.000    0.062    0.001 fromnumeric.py:71(_wrapreduction)
        5    0.000    0.000    0.061    0.012 fromnumeric.py:2177(sum)
    38455    0.016    0.000    0.048    0.000 std.py:1160(__iter__)
        1    0.000    0.000    0.042    0.042 base.py:1(<module>)
        1    0.000    0.000    0.040    0.040 config.py:1(<module>)
       19    0.000    0.000    0.037    0.002 dataset.py:671(__init__)
       19    0.000    0.000    0.037    0.002 dataset.py:413(merge_data_and_coords)
        5    0.000    0.000    0.034    0.007 dataset.py:2819(isel)
   245446    0.034    0.000    0.034    0.000 {method 'append' of 'list' objects}
40168/39820    0.013    0.000    0.033    0.000 {built-in method numpy.asarray}
       19    0.000    0.000    0.033    0.002 merge.py:646(merge_core)
       67    0.000    0.000    0.029    0.000 std.py:1464(display)
       62    0.000    0.000    0.029    0.000 std.py:1325(refresh)
       42    0.001    0.000    0.029    0.001 merge.py:307(collect_variables_and_indexes)
        1    0.000    0.000    0.029    0.029 datasets.py:1(<module>)
        2    0.000    0.000    0.028    0.014 __init__.py:900(entry_points)
        2    0.001    0.001    0.028    0.014 utils.py:1(<module>)
    38623    0.028    0.000    0.028    0.000 {built-in method numpy.zeros}
       57    0.001    0.000    0.027    0.000 std.py:1198(update)
      124    0.000    0.000    0.027    0.000 __init__.py:909(<genexpr>)
      111    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap>:1234(_find_spec)
      110    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1516(find_spec)
     1822    0.002    0.000    0.025    0.000 variable.py:338(__init__)
      110    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1487(_get_spec)
       10    0.000    0.000    0.024    0.002 common.py:229(load)
      265    0.001    0.000    0.024    0.000 variable.py:87(as_variable)
      278    0.002    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1589(find_spec)
       41    0.000    0.000    0.023    0.001 utils.py:442(FrozenDict)
       10    0.000    0.000    0.023    0.002 netCDF4_.py:461(get_variables)
        1    0.000    0.000    0.023    0.023 _build_tlz.py:1(<module>)
      167    0.000    0.000    0.023    0.000 netCDF4_.py:462(<genexpr>)
      157    0.014    0.000    0.023    0.000 netCDF4_.py:420(open_store_variable)
       85    0.021    0.000    0.021    0.000 utils.py:182(either_dict_or_kwargs)
      181    0.007    0.000    0.021    0.000 utils.py:81(_StartCountStride)
       73    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1061(get_code)
       15    0.001    0.000    0.020    0.001 dataset.py:2974(_isel_fancy)
        1    0.000    0.000    0.020    0.020 multiprocessing.py:1(<module>)
       10    0.000    0.000    0.019    0.002 plugins.py:200(get_backend)
        1    0.000    0.000    0.019    0.019 plugins.py:119(list_engines)
       33    0.000    0.000    0.018    0.001 alignment.py:678(align)
       67    0.000    0.000    0.017    0.000 std.py:457(print_status)
      483    0.017    0.000    0.017    0.000 {built-in method nt.stat}
       33    0.000    0.000    0.017    0.001 alignment.py:564(align)
     1995    0.003    0.000    0.016    0.000 variable.py:231(as_compatible_data)
      122    0.000    0.000    0.016    0.000 __init__.py:469(entry_points)
       50    0.016    0.000    0.016    0.000 {built-in method builtins.print}
      469    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.016    0.016 optimization.py:1(<module>)
      233    0.000    0.000    0.016    0.000 variable.py:2573(__init__)
      157    0.000    0.000    0.016    0.000 times.py:988(decode)
      213    0.002    0.000    0.016    0.000 {built-in method builtins.__build_class__}
       50    0.000    0.000    0.015    0.000 dataset.py:1238(copy)
       50    0.001    0.000    0.015    0.000 dataset.py:1337(_copy)
        1    0.000    0.000    0.015    0.015 loader.py:1(<module>)
        7    0.000    0.000    0.015    0.002 times.py:204(_decode_cf_datetime_dtype)
        1    0.001    0.001    0.015    0.015 _task_spec.py:1(<module>)
60874/60871    0.011    0.000    0.014    0.000 {built-in method builtins.getattr}
      144    0.000    0.000    0.014    0.000 utils.py:194(inner)
      339    0.001    0.000    0.013    0.000 indexes.py:432(safe_cast_to_index)
       35    0.000    0.000    0.013    0.000 variable.py:522(to_index_variable)
      187    0.000    0.000    0.013    0.000 indexing.py:1462(__init__)
       77    0.013    0.000    0.013    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       33    0.000    0.000    0.013    0.000 alignment.py:556(reindex_all)
      122    0.001    0.000    0.013    0.000 __init__.py:810(read_text)
       61    0.000    0.000    0.013    0.000 alignment.py:557(<genexpr>)
       18    0.000    0.000    0.013    0.001 times.py:298(decode_cf_datetime)
        1    0.000    0.000    0.013    0.013 common.py:479(encode)
       28    0.000    0.000    0.013    0.000 alignment.py:538(_reindex_one)
48613/48546    0.008    0.000    0.013    0.000 {built-in method builtins.isinstance}
       18    0.001    0.000    0.013    0.001 times.py:246(_decode_datetime_with_pandas)
       67    0.000    0.000    0.013    0.000 std.py:451(fp_write)
        1    0.000    0.000    0.013    0.013 conventions.py:765(cf_encoder)
        1    0.000    0.000    0.012    0.012 sizeof.py:1(<module>)
       12    0.000    0.000    0.012    0.001 conventions.py:161(encode_cf_variable)
      639    0.001    0.000    0.012    0.000 variable.py:867(_copy)
       67    0.000    0.000    0.012    0.000 std.py:1150(__str__)
        1    0.000    0.000    0.012    0.012 sizeof.py:306(_register_entry_point_plugins)
        1    0.000    0.000    0.012    0.012 delayed.py:1(<module>)
       12    0.000    0.000    0.012    0.001 common.py:275(add)
       12    0.010    0.001    0.011    0.001 netCDF4_.py:77(__setitem__)
      122    0.001    0.000    0.011    0.000 pathlib.py:1023(read_text)
       67    0.003    0.000    0.011    0.000 std.py:464(format_meter)
        1    0.000    0.000    0.011    0.011 common.py:414(set_variables)
       12    0.000    0.000    0.011    0.001 times.py:970(encode)
       60    0.000    0.000    0.011    0.000 variable.py:960(isel)
        5    0.000    0.000    0.011    0.002 frame.py:6731(drop_duplicates)
        1    0.000    0.000    0.011    0.011 times.py:709(encode_cf_datetime)
        1    0.000    0.000    0.010    0.010 times.py:731(_eagerly_encode_cf_datetime)
      268    0.000    0.000    0.010    0.000 __init__.py:280(_compile)
      124    0.001    0.000    0.010    0.000 _itertools.py:4(unique_everseen)
       60    0.000    0.000    0.010    0.000 variable.py:750(__getitem__)
      201    0.000    0.000    0.010    0.000 utils.py:378(disp_len)
      596    0.003    0.000    0.010    0.000 {built-in method builtins.sum}
67428/65656    0.009    0.000    0.010    0.000 {built-in method builtins.len}
       26    0.000    0.000    0.010    0.000 indexing.py:468(__array__)
    76985    0.010    0.000    0.010    0.000 multiarray.py:346(where)
       19    0.000    0.000    0.010    0.001 _compiler.py:738(compile)
       50    0.000    0.000    0.010    0.000 __init__.py:226(compile)
      201    0.000    0.000    0.009    0.000 utils.py:374(_text_width)
      129    0.007    0.000    0.009    0.000 {built-in method _io.open}
       28    0.000    0.000    0.009    0.000 dataset.py:3400(_reindex_callback)
    20/15    0.000    0.000    0.009    0.001 dataarray.py:1401(isel)
        1    0.000    0.000    0.009    0.009 readers.py:868(read_csv)
        5    0.001    0.000    0.009    0.002 frame.py:6828(duplicated)
        1    0.000    0.000    0.009    0.009 readers.py:583(_read)
        1    0.000    0.000    0.009    0.009 times.py:423(infer_datetime_units)
        1    0.000    0.000    0.009    0.009 config.py:838(_initialize)
       73    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1182(get_data)
      740    0.001    0.000    0.008    0.000 variable.py:901(_replace)
     1827    0.001    0.000    0.008    0.000 core.py:257(__init__)
      122    0.000    0.000    0.008    0.000 pathlib.py:1006(open)
        1    0.000    0.000    0.008    0.008 __init__.py:117(safe_load)
        1    0.000    0.000    0.008    0.008 __init__.py:74(load)
        1    0.000    0.000    0.008    0.008 constructor.py:47(get_single_data)
     1392    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
3255/3109    0.005    0.000    0.008    0.000 indexing.py:540(shape)
        6    0.000    0.000    0.008    0.001 frame.py:694(__init__)
      350    0.001    0.000    0.007    0.000 netCDF4_.py:91(get_array)
     1827    0.002    0.000    0.007    0.000 core.py:487(_parse_dimensions)
        6    0.000    0.000    0.007    0.001 construction.py:423(dict_to_mgr)
       73    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:750(_compile_bytecode)
        1    0.000    0.000    0.007    0.007 composer.py:29(get_single_node)
       24    0.000    0.000    0.007    0.000 utils.py:1429(_bind_operator)
    28527    0.005    0.000    0.007    0.000 utils.py:375(<genexpr>)
        1    0.000    0.000    0.007    0.007 times.py:358(to_datetime_unboxed)
       37    0.000    0.000    0.007    0.000 delayed.py:659(_get_binary_operator)
    23/22    0.001    0.000    0.007    0.000 series.py:389(__init__)
        1    0.000    0.000    0.007    0.007 _signatures.py:661(create_signature_registry)
        1    0.000    0.000    0.007    0.007 datetimes.py:673(to_datetime)
       37    0.000    0.000    0.007    0.000 functoolz.py:302(__call__)
       80    0.003    0.000    0.007    0.000 pydevd.py:1777(process_internal_commands)
       37    0.000    0.000    0.007    0.000 delayed.py:283(delayed)
        1    0.001    0.001    0.007    0.007 groupby.py:1(<module>)
        1    0.000    0.000    0.007    0.007 threaded.py:1(<module>)
5636/5625    0.002    0.000    0.007    0.000 {built-in method builtins.hasattr}
    29/15    0.000    0.000    0.007    0.000 __init__.py:73(import_module)
    38541    0.007    0.000    0.007    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
        1    0.000    0.000    0.007    0.007 composer.py:50(compose_document)
    36/15    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:1369(_gcd_import)
     92/1    0.000    0.000    0.006    0.006 composer.py:63(compose_node)
      441    0.000    0.000    0.006    0.000 _signatures.py:667(<genexpr>)
       73    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
       15    0.000    0.000    0.006    0.000 dataarray.py:855(__getitem__)
     15/1    0.000    0.000    0.006    0.006 composer.py:117(compose_mapping_node)
      240    0.000    0.000    0.006    0.000 _signatures.py:624(expand_sig)
      157    0.001    0.000    0.006    0.000 variables.py:297(decode)
      282    0.000    0.000    0.006    0.000 parser.py:94(check_event)
       19    0.000    0.000    0.006    0.000 _compiler.py:571(_code)
        1    0.000    0.000    0.006    0.006 readers.py:1907(read)
       37    0.000    0.000    0.006    0.000 delayed.py:262(tokenize)
     3363    0.001    0.000    0.006    0.000 core.py:449(shape)
 2260/165    0.002    0.000    0.006    0.000 copy.py:118(deepcopy)
       37    0.000    0.000    0.006    0.000 tokenize.py:46(tokenize)
      273    0.001    0.000    0.006    0.000 dataset.py:1531(__getitem__)
       37    0.000    0.000    0.006    0.000 tokenize.py:32(_tokenize)
      169    0.000    0.000    0.006    0.000 indexing.py:865(decompose_indexer)
       60    0.001    0.000    0.006    0.000 variable.py:568(_broadcast_indexes)
      251    0.000    0.000    0.006    0.000 inspect.py:3325(signature)
    76/37    0.000    0.000    0.006    0.000 tokenize.py:135(_normalize_seq_func)
        5    0.000    0.000    0.006    0.001 shape_base.py:1185(tile)
       76    0.001    0.000    0.006    0.000 base.py:475(__new__)
     2400    0.001    0.000    0.006    0.000 core.py:407(ndim)
      251    0.000    0.000    0.006    0.000 inspect.py:3067(from_callable)
       50    0.001    0.000    0.005    0.000 shape_base.py:267(apply_along_axis)
   126/74    0.000    0.000    0.005    0.000 tokenize.py:136(_inner_normalize_token)
    38455    0.005    0.000    0.005    0.000 _pocketfft.py:78(_get_forward_norm)
      169    0.003    0.000    0.005    0.000 indexing.py:985(_decompose_outer_indexer)
    89/37    0.000    0.000    0.005    0.000 utils.py:768(__call__)
  258/251    0.001    0.000    0.005    0.000 inspect.py:2463(_signature_from_callable)
       15    0.000    0.000    0.005    0.000 dataset.py:2781(_get_indexers_coords_and_indexes)
        5    0.005    0.001    0.005    0.001 {method 'repeat' of 'numpy.ndarray' objects}
       24    0.000    0.000    0.005    0.000 alignment.py:886(deep_align)
       14    0.000    0.000    0.005    0.000 indexing.py:483(__array__)
       47    0.000    0.000    0.005    0.000 dataarray.py:761(values)
       50    0.000    0.000    0.005    0.000 indexes.py:1611(copy_indexes)
       14    0.000    0.000    0.005    0.000 indexing.py:486(get_duck_array)
       77    0.000    0.000    0.005    0.000 variable.py:505(values)
        1    0.000    0.000    0.005    0.005 tokenize.py:1(<module>)
       77    0.000    0.000    0.005    0.000 variable.py:292(_as_array_or_item)
    38450    0.005    0.000    0.005    0.000 fromnumeric.py:1232(_argmin_dispatcher)
      240    0.000    0.000    0.005    0.000 _signatures.py:617(signature_or_spec)
      733    0.000    0.000    0.005    0.000 scanner.py:113(check_token)
       26    0.000    0.000    0.005    0.000 indexing.py:692(__array__)
    38455    0.005    0.000    0.005    0.000 _pocketfft.py:118(_fft_dispatcher)
      8/1    0.000    0.000    0.005    0.005 _build_tlz.py:54(exec_module)
       35    0.000    0.000    0.005    0.000 frame.py:6925(f)
    40/20    0.000    0.000    0.005    0.000 common.py:62(new_method)
      169    0.002    0.000    0.005    0.000 netCDF4_.py:60(__init__)
       50    0.000    0.000    0.005    0.000 tokenize.py:186(normalize_object)
      122    0.000    0.000    0.005    0.000 __init__.py:825(_normalized_name)
        7    0.000    0.000    0.005    0.001 formatting.py:68(first_n_items)
      273    0.002    0.000    0.005    0.000 dataset.py:1441(_construct_dataarray)
       14    0.000    0.000    0.005    0.000 dataset.py:1979(set_coords)
        1    0.000    0.000    0.005    0.005 pool.py:1(<module>)
       35    0.000    0.000    0.005    0.000 algorithms.py:610(factorize)
       20    0.000    0.000    0.005    0.000 base.py:7227(_arith_method)
       50    0.000    0.000    0.005    0.000 tokenize.py:226(_normalize_pickle)
       20    0.000    0.000    0.005    0.000 base.py:1371(_arith_method)
   104/99    0.000    0.000    0.004    0.000 copy.py:217(_deepcopy_dict)
       73    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
       67    0.000    0.000    0.004    0.000 utils.py:386(disp_trim)
     1589    0.001    0.000    0.004    0.000 utils.py:573(ndim)
        7    0.000    0.000    0.004    0.001 dataclasses.py:1238(dataclass)
