dataset,entry_title*,survey,start_time,sequential_pinging,calibration note,species,project,platform,platformtype,possible_single_tracks,datacenter*,datacenter_person*,originating_institution*,originating_institution_person*,use_constraints*,access_constraints*,location*,iso_topic_category*,gcmd_science_keywords*,southern_latitude*,northern_latitude*,western_longitude*,eastern_longitude*,dataset_progress*,version,url_type*,url*
T2019001,Test data: Mesopelagic organisms measured with Messor,S2019703,2019,no,FM calibration with 1 sphere,Mesopelagic,MEESO,KRONPRINSHAAKON_9566,MESSOR,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Webjørn Melle,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2020001,Test data: Herring measured from GoSars ship mounted echo sounders,S2020116,2020,no,Bad calibration with WC57.2 for all,Herring,CRIMAC,GOSARS_4174,Hull mounted,no,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Egil Ona,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2020002,Test data: Herring measured with TS-probe from GoSars,S2020116,2020,no,"One sphere calibration, WC38",Herring,CRIMAC,GOSARS_4174,TS_PROBE,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Egil Ona,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2020003,Test data: Sandeel measured wiht narrowbeam 200 kHz echo sounder from Eros,S2020821,2020,no,FM calibration with 1 sphere,Sandeel,CRIMAC,EROS_3317,Hull mounted,maybe,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2020008,Test data: Krill measured wiht TS-probe from G.O. Sars,S2020116 ,2020,no,"One sphere calibration, WC38",Krill,CRIMAC,GOSARS_4174,TS_PROBE,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2021001,"Test data: 500 salmon in netpen in Matre with closed surface. Decreasing air in swimbladder. Measured with small CRIMAC echo sounder rig with 3 echo sounders, and two single 200 kHz echo sounders.",D2021003,2021,yes,FM calibration with 1 sphere,Salmon,CRIMAC,MATRE,gimbal under net pen,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2021002,Test data: Mesopelagic organisms measured with Messor,S2021105,2021,no,FM calibration with 1 sphere,Mesopelagic,MEESO,GOSARS_4174,MESSOR,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Webjørn Melle,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2021003,Test data: Mackerel measured with ship mounted echo sounders on fishing vessel MS LIBAS during fisheries,S2021852,2021,no,,Mackerel,CRIMAC,LIBAS_3303,Hull mounted,maybe,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Hector Pena,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2021004,Test data: Bluefin tuna mesured with ship mounted echo sounders,S2021105,2021,no,FM calibration with 1 sphere,Tuna,Tuna,YTTERSTAD_9103,Hull mounted,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Hector Pena,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2021005,Test data: Haddock and whiting measured from ship mounted echo sounders on Kings Bay during sandeel survey,S2021847,2021,no,"FM calibration with 2 spheres for 200 kHz, one for the rest",Haddock and Whiting,CRIMAC,KINGSBAY_3223,Hull mounted,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
